iteration,S,E,I,R
0,19980,0,20,0
1,19973,5,20,2
2,19959,14,23,4
3,19937,28,25,10
4,19915,39,28,18
5,19891,49,37,23
6,19869,50,54,27
7,19826,65,70,39
8,19770,88,91,51
9,19679,130,125,66
10,19570,167,177,86
11,19396,235,250,119
12,19218,285,339,158
13,18919,428,421,232
14,18532,586,578,304
15,18027,784,784,405
16,17438,992,1023,547
17,16669,1287,1295,749
18,15686,1644,1706,964
19,14564,1965,2217,1254
20,13264,2389,2734,1613
21,11764,2834,3322,2080
22,10251,3110,3997,2642
23,8756,3305,4624,3315
24,7239,3458,5196,4107
25,5822,3474,5821,4883
26,4696,3256,6271,5777
27,3712,3063,6486,6739
28,2865,2767,6652,7716
29,2259,2432,6566,8743
30,1812,2099,6408,9681
31,1448,1749,6221,10582
32,1167,1501,5881,11451
33,985,1209,5568,12238
34,841,1007,5137,13015
35,778,804,4727,13691
36,728,672,4289,14311
37,663,575,3908,14854
38,630,462,3544,15364
39,620,374,3172,15834
40,620,310,2852,16218
41,616,242,2579,16563
42,611,202,2310,16877
43,628,169,2064,17139
44,651,153,1833,17363
45,660,145,1627,17568
46,681,132,1436,17751
47,725,117,1288,17870
48,762,115,1124,17999
49,791,96,1004,18109
50,834,92,898,18176
51,870,66,792,18272
52,912,58,688,18342
53,963,62,602,18373
54,1022,56,553,18369
55,1064,54,499,18383
56,1106,42,449,18403
57,1155,39,379,18427
58,1215,35,347,18403
59,1278,30,303,18389
60,1329,36,273,18362
61,1392,39,233,18336
62,1450,41,215,18294
63,1514,27,204,18255
64,1567,29,175,18229
65,1621,26,164,18189
66,1668,25,151,18156
67,1713,28,136,18123
68,1776,27,117,18080
69,1838,21,112,18029
70,1896,15,113,17976
71,1943,16,106,17935
72,1992,18,100,17890
73,2063,14,93,17830
74,2107,11,84,17798
75,2152,13,77,17758
76,2189,16,63,17732
77,2262,14,60,17664
78,2306,10,57,17627
79,2354,13,53,17580
80,2409,9,55,17527
81,2468,6,51,17475
82,2522,8,44,17426
83,2566,8,44,17382
84,2614,7,40,17339
85,2652,3,37,17308
86,2700,4,31,17265
87,2758,6,29,17207
88,2801,4,24,17171
89,2848,2,23,17127
90,2892,4,20,17084
91,2961,6,15,17018
92,3012,5,13,16970
93,3052,5,11,16932
94,3095,4,12,16889
95,3133,2,15,16850
96,3194,2,10,16794
97,3236,2,8,16754
98,3291,3,7,16699
99,3337,3,5,16655
100,3385,2,5,16608
101,3431,2,6,16561
102,3466,2,6,16526
103,3513,2,4,16481
104,3559,2,4,16435
105,3611,2,4,16383
106,3648,2,5,16345
107,3691,3,4,16302
108,3730,2,5,16263
109,3770,1,5,16224
110,3822,1,5,16172
111,3867,1,3,16129
112,3917,1,3,16079
113,3965,1,2,16032
114,4017,2,2,15979
115,4069,2,2,15927
116,4121,2,1,15876
117,4168,1,2,15829
118,4218,0,3,15779
119,4266,0,3,15731
120,4308,0,3,15689
121,4344,0,2,15654
122,4392,0,2,15606
123,4431,1,2,15566
124,4478,1,2,15519
125,4525,1,1,15473
126,4566,1,1,15432
127,4606,1,1,15392
128,4648,1,1,15350
129,4706,0,2,15292
130,4748,0,2,15250
131,4792,0,2,15206
132,4836,0,2,15162
133,4877,0,2,15121
134,4916,0,2,15082
135,4953,0,2,15045
136,4999,0,2,14999
137,5047,0,2,14951
138,5093,0,2,14905
139,5132,1,2,14865
140,5169,1,2,14828
141,5211,1,1,14787
142,5251,1,1,14747
143,5294,1,2,14703
144,5330,0,3,14667
145,5373,0,3,14624
146,5410,0,3,14587
147,5447,0,3,14550
148,5483,1,2,14514
149,5513,0,3,14484
150,5555,1,2,14442
151,5599,1,2,14398
152,5643,1,1,14355
153,5677,0,2,14321
154,5721,0,2,14277
155,5759,0,1,14240
156,5799,0,1,14200
157,5837,1,1,14161
158,5886,1,1,14112
159,5918,2,1,14079
160,5952,2,1,14045
161,5988,2,1,14009
162,6018,2,1,13979
163,6051,2,1,13946
164,6097,2,1,13900
165,6124,2,1,13873
166,6168,0,3,13829
167,6203,2,2,13793
168,6247,2,2,13749
169,6276,2,3,13719
170,6320,0,5,13675
171,6353,1,6,13640
172,6392,2,8,13598
173,6424,3,7,13566
174,6454,4,7,13535
175,6505,7,5,13483
176,6540,5,7,13448
177,6582,4,7,13407
178,6628,2,10,13360
179,6666,5,10,13319
180,6706,3,12,13279
181,6743,5,9,13243
182,6767,7,12,13214
183,6807,7,12,13174
184,6844,7,9,13140
185,6884,9,8,13099
186,6910,10,10,13070
187,6952,10,13,13025
188,6979,9,10,13002
189,7009,5,18,12968
190,7031,9,15,12945
191,7059,8,18,12915
192,7083,9,22,12886
193,7113,12,22,12853
