iteration,S,E,I,R
0,19980,0,20,0
1,19958,14,27,1
2,19929,26,38,7
3,19894,40,52,14
4,19866,47,64,23
5,19809,79,76,36
6,19752,98,101,49
7,19672,125,132,71
8,19552,185,169,94
9,19403,234,245,118
10,19192,334,319,155
11,18924,439,438,199
12,18542,579,612,267
13,18037,784,808,371
14,17454,979,1056,511
15,16659,1284,1382,675
16,15651,1651,1757,941
17,14468,2026,2245,1261
18,13155,2400,2793,1652
19,11688,2744,3450,2118
20,10085,3162,4054,2699
21,8455,3494,4671,3380
22,7080,3516,5264,4140
23,5744,3489,5791,4976
24,4540,3333,6243,5884
25,3562,3099,6481,6858
26,2767,2805,6630,7798
27,2136,2453,6628,8783
28,1715,2031,6501,9753
29,1362,1748,6205,10685
30,1115,1453,5859,11573
31,909,1204,5543,12344
32,809,977,5100,13114
33,725,786,4659,13830
34,673,640,4285,14402
35,627,518,3890,14965
36,601,429,3529,15441
37,578,341,3189,15892
38,585,282,2875,16258
39,595,247,2569,16589
40,618,206,2276,16900
41,622,190,2051,17137
42,634,174,1826,17366
43,670,141,1654,17535
44,710,124,1465,17701
45,741,102,1304,17853
46,772,100,1164,17964
47,800,103,1029,18068
48,832,80,917,18171
49,862,85,820,18233
50,903,78,748,18271
51,968,67,656,18309
52,1015,65,582,18338
53,1065,67,507,18361
54,1112,62,453,18373
55,1158,56,403,18383
56,1201,52,362,18385
57,1244,54,324,18378
58,1294,38,299,18369
59,1351,33,266,18350
60,1406,31,244,18319
61,1463,29,216,18292
62,1506,30,193,18271
63,1561,32,161,18246
64,1626,33,147,18194
65,1692,25,128,18155
66,1757,25,120,18098
67,1814,27,108,18051
68,1857,32,91,18020
69,1914,24,89,17973
70,1962,15,89,17934
71,2008,12,81,17899
72,2062,10,75,17853
73,2116,11,72,17801
74,2176,7,67,17750
75,2223,10,59,17708
76,2268,10,57,17665
77,2309,16,52,17623
78,2361,14,54,17571
79,2415,11,56,17518
80,2475,10,48,17467
81,2526,9,41,17424
82,2574,9,40,17377
83,2627,8,40,17325
84,2683,5,37,17275
85,2728,10,32,17230
86,2787,9,33,17171
87,2823,6,32,17139
88,2880,5,29,17086
89,2934,4,30,17032
90,2983,4,21,16992
91,3041,1,22,16936
92,3093,3,20,16884
93,3130,4,21,16845
94,3176,3,21,16800
95,3225,4,19,16752
96,3263,3,22,16712
97,3305,4,16,16675
98,3349,4,19,16628
99,3388,3,22,16587
100,3440,4,21,16535
101,3491,4,19,16486
102,3543,4,20,16433
103,3582,4,19,16395
104,3619,5,17,16359
105,3662,7,13,16318
106,3712,9,14,16265
107,3756,8,13,16223
108,3797,10,12,16181
109,3837,10,12,16141
110,3884,8,12,16096
111,3947,7,13,16033
112,4004,8,12,15976
113,4049,9,13,15929
114,4083,8,14,15895
115,4127,6,10,15857
116,4166,6,10,15818
117,4207,5,11,15777
118,4242,3,17,15738
119,4282,6,16,15696
120,4329,7,14,15650
121,4370,7,15,15608
122,4410,6,19,15565
123,4465,7,16,15512
124,4498,7,17,15478
125,4543,4,19,15434
126,4587,6,15,15392
127,4634,6,16,15344
128,4679,6,14,15301
129,4717,6,10,15267
130,4750,7,10,15233
131,4791,7,10,15192
132,4827,6,13,15154
133,4877,4,15,15104
134,4912,5,15,15068
135,4956,3,16,15025
136,4987,4,19,14990
137,5047,3,16,14934
138,5082,3,15,14900
139,5128,6,14,14852
140,5153,6,15,14826
141,5183,6,17,14794
142,5234,5,17,14744
143,5269,7,14,14710
144,5302,8,16,14674
145,5342,6,17,14635
146,5379,6,19,14596
147,5421,9,23,14547
148,5456,11,20,14513
149,5488,12,21,14479
150,5528,10,24,14438
151,5559,13,29,14399
152,5598,19,26,14357
153,5620,18,31,14331
154,5642,20,35,14303
155,5667,24,40,14269
156,5708,23,41,14228
157,5722,28,46,14204
158,5741,30,53,14176
159,5767,27,67,14139
160,5808,32,68,14092
161,5840,36,67,14057
162,5858,40,68,14034
163,5884,36,74,14006
164,5903,41,75,13981
165,5931,43,71,13955
166,5949,47,72,13932
167,5979,43,83,13895
168,6003,48,85,13864
169,6018,46,92,13844
170,6043,56,93,13808
171,6052,59,107,13782
172,6065,61,111,13763
173,6076,60,120,13744
174,6085,62,128,13725
175,6101,63,123,13713
176,6106,62,133,13699
177,6120,67,138,13675
178,6128,66,148,13658
179,6143,68,148,13641
180,6152,80,148,13620
181,6158,73,168,13601
182,6162,74,170,13594
183,6163,78,174,13585
184,6161,90,180,13569
185,6169,87,186,13558
186,6156,100,191,13553
187,6151,96,205,13548
188,6143,102,215,13540
189,6132,113,209,13546
190,6123,121,223,13533
191,6123,132,228,13517
192,6127,135,239,13499
193,6120,134,251,13495
194,6099,147,262,13492
195,6073,140,300,13487
196,6056,152,306,13486
197,6040,157,330,13473
198,6017,168,331,13484
199,5979,167,347,13507
200,5936,200,352,13512
201,5919,186,371,13524
202,5893,197,383,13527
203,5845,202,406,13547
204,5805,208,414,13573
205,5771,219,416,13594
206,5718,229,432,13621
207,5657,243,463,13637
208,5623,236,479,13662
209,5562,236,496,13706
210,5505,234,510,13751
211,5441,266,508,13785
212,5378,272,544,13806
213,5311,266,578,13845
214,5240,276,596,13888
215,5185,278,618,13919
216,5126,290,633,13951
217,5052,299,632,14017
218,4966,318,630,14086
219,4885,325,656,14134
220,4806,354,674,14166
221,4721,367,685,14227
222,4646,364,720,14270
223,4577,348,713,14362
224,4476,346,733,14445
225,4405,328,749,14518
226,4334,318,771,14577
227,4270,325,780,14625
228,4206,343,764,14687
229,4139,340,785,14736
230,4059,336,813,14792
231,4000,322,833,14845
232,3949,299,849,14903
233,3898,300,836,14966
234,3863,291,820,15026
235,3812,276,812,15100
236,3784,269,776,15171
237,3738,289,747,15226
238,3680,293,760,15267
239,3633,296,756,15315
240,3597,284,763,15356
241,3565,281,757,15397
242,3531,278,762,15429
243,3497,273,768,15462
244,3447,281,759,15513
245,3431,256,762,15551
246,3417,233,767,15583
247,3373,238,754,15635
248,3359,233,737,15671
249,3346,221,739,15694
250,3315,228,731,15726
251,3308,218,731,15743
252,3303,220,698,15779
253,3321,193,670,15816
254,3312,184,660,15844
255,3309,191,613,15887
256,3301,192,602,15905
257,3308,177,576,15939
258,3311,182,565,15942
259,3334,174,537,15955
260,3351,168,527,15954
261,3371,165,518,15946
262,3391,152,521,15936
263,3426,157,500,15917
264,3444,151,496,15909
265,3433,166,492,15909
266,3462,166,492,15880
267,3499,156,477,15868
268,3487,163,484,15866
269,3510,162,468,15860
270,3534,161,457,15848
271,3571,166,438,15825
272,3574,170,429,15827
273,3607,177,411,15805
274,3624,173,413,15790
275,3675,174,400,15751
276,3714,156,396,15734
277,3748,147,396,15709
278,3774,151,397,15678
279,3824,132,393,15651
280,3840,135,373,15652
281,3905,140,368,15587
282,3933,138,366,15563
283,3949,147,369,15535
284,3969,132,386,15513
285,3977,144,387,15492
286,4004,145,395,15456
287,4032,151,400,15417
288,4038,158,388,15416
289,4049,168,383,15400
290,4077,155,379,15389
291,4103,152,372,15373
292,4129,164,364,15343
293,4160,142,383,15315
294,4185,149,365,15301
295,4232,144,365,15259
296,4269,146,352,15233
297,4314,143,339,15204
298,4338,129,352,15181
299,4354,130,352,15164
300,4366,146,350,15138
301,4401,161,351,15087
302,4425,154,346,15075
303,4437,146,356,15061
304,4453,144,367,15036
305,4466,157,347,15030
306,4497,150,363,14990
307,4516,155,369,14960
308,4527,161,380,14932
309,4546,163,389,14902
310,4575,163,389,14873
311,4562,179,395,14864
312,4568,186,388,14858
313,4591,176,403,14830
314,4609,168,410,14813
315,4629,174,417,14780
316,4644,177,426,14753
317,4673,175,427,14725
318,4675,186,415,14724
319,4683,191,430,14696
320,4701,186,428,14685
321,4705,194,431,14670
322,4722,193,459,14626
323,4731,201,446,14622
324,4719,210,434,14637
325,4726,219,432,14623
326,4752,214,443,14591
327,4780,206,454,14560
328,4778,196,465,14561
329,4778,200,468,14554
330,4806,207,468,14519
331,4814,196,473,14517
332,4798,214,483,14505
333,4777,242,495,14486
334,4790,234,524,14452
335,4751,237,554,14458
336,4727,246,568,14459
337,4709,241,600,14450
338,4671,251,613,14465
339,4637,270,630,14463
340,4602,276,643,14479
341,4577,276,640,14507
342,4569,249,648,14534
343,4523,256,645,14576
344,4468,276,667,14589
345,4433,294,688,14585
346,4383,304,703,14610
347,4354,297,704,14645
348,4318,293,736,14653
349,4296,292,730,14682
350,4248,295,729,14728
351,4228,305,723,14744
352,4183,300,729,14788
353,4126,302,731,14841
354,4123,281,739,14857
355,4060,289,757,14894
356,4051,274,750,14925
357,4044,245,767,14944
358,4046,271,724,14959
359,4021,294,727,14958
360,4005,290,733,14972
361,3969,296,754,14981
362,3951,297,729,15023
363,3957,289,721,15033
364,3935,311,701,15053
365,3922,292,731,15055
366,3901,294,746,15059
367,3894,278,764,15064
368,3857,277,760,15106
369,3848,271,741,15140
370,3827,268,723,15182
371,3803,271,715,15211
372,3794,262,730,15214
373,3777,247,717,15259
374,3785,256,702,15257
375,3769,261,720,15250
376,3751,264,723,15262
377,3732,272,686,15310
378,3750,262,678,15310
379,3752,259,657,15332
380,3749,265,667,15319
381,3765,222,703,15310
382,3762,229,661,15348
383,3781,234,634,15351
384,3784,236,630,15350
385,3768,223,638,15371
386,3756,238,641,15365
387,3780,227,642,15351
388,3775,246,612,15367
389,3791,246,622,15341
390,3780,245,612,15363
391,3804,240,601,15355
392,3812,254,570,15364
393,3822,229,579,15370
394,3824,227,567,15382
395,3843,243,556,15358
396,3870,236,544,15350
397,3894,210,564,15332
398,3903,206,558,15333
399,3913,222,562,15303
400,3934,211,560,15295
401,3962,207,562,15269
402,4006,200,534,15260
403,4026,204,522,15248
404,4059,205,538,15198
405,4074,218,513,15195
406,4110,219,515,15156
407,4110,223,517,15150
408,4113,231,531,15125
409,4131,222,560,15087
410,4135,213,571,15081
411,4139,219,571,15071
412,4122,229,588,15061
413,4146,225,574,15055
414,4155,221,585,15039
415,4152,237,575,15036
416,4153,244,563,15040
417,4170,225,573,15032
418,4177,212,581,15030
419,4177,216,571,15036
420,4184,221,555,15040
421,4212,211,562,15015
422,4213,212,566,15009
423,4214,214,571,15001
424,4225,208,583,14984
425,4212,205,582,15001
426,4213,216,557,15014
427,4201,228,559,15012
428,4215,232,566,14987
429,4224,247,549,14980
430,4211,243,563,14983
431,4215,233,582,14970
432,4206,236,590,14968
433,4190,253,589,14968
434,4185,254,598,14963
435,4173,254,620,14953
436,4180,260,607,14953
437,4177,259,613,14951
438,4168,252,587,14993
439,4165,247,587,15001
440,4168,237,610,14985
441,4160,234,612,14994
442,4168,236,605,14991
443,4149,241,610,15000
444,4139,246,625,14990
445,4120,245,620,15015
446,4098,258,622,15022
447,4121,259,604,15016
448,4090,246,639,15025
449,4079,246,638,15037
450,4071,242,635,15052
451,4063,244,647,15046
452,4059,241,640,15060
453,4047,260,633,15060
454,4050,253,622,15075
455,4037,255,621,15087
456,4023,243,634,15100
