iteration,S,E,I,R
0,19980,0,20,0
1,19968,12,18,2
2,19953,24,19,4
3,19929,38,28,5
4,19911,46,34,9
5,19877,69,42,12
6,19851,79,51,19
7,19807,98,72,23
8,19742,135,89,34
9,19657,182,119,42
10,19543,251,156,50
11,19413,304,212,71
12,19243,395,261,101
13,19018,495,353,134
14,18732,639,454,175
15,18341,845,582,232
16,17870,1061,756,313
17,17266,1364,959,411
18,16516,1731,1204,549
19,15572,2176,1567,685
20,14544,2586,1973,897
21,13367,3035,2444,1154
22,12111,3469,2914,1506
23,10630,4033,3452,1885
24,9203,4307,4140,2350
25,7731,4562,4793,2914
26,6365,4651,5420,3564
27,5083,4608,6039,4270
28,3986,4430,6516,5068
29,3045,4130,6900,5925
30,2297,3703,7203,6797
31,1736,3224,7246,7794
32,1314,2732,7260,8694
33,1016,2228,7063,9693
34,807,1872,6736,10585
35,653,1531,6344,11472
36,544,1243,5952,12261
37,461,1012,5474,13053
38,418,788,5040,13754
39,375,614,4594,14417
40,366,493,4205,14936
41,348,412,3780,15460
42,346,347,3377,15930
43,360,293,3047,16300
44,365,239,2705,16691
45,384,201,2404,17011
46,408,166,2130,17296
47,417,165,1868,17550
48,460,138,1664,17738
49,503,115,1497,17885
50,533,113,1331,18023
51,568,109,1186,18137
52,621,95,1043,18241
53,677,89,917,18317
54,717,99,807,18377
55,769,83,712,18436
56,824,72,624,18480
57,876,68,546,18510
58,914,65,482,18539
59,977,65,425,18533
60,1043,60,382,18515
61,1101,57,340,18502
62,1160,39,323,18478
63,1213,33,280,18474
64,1277,36,252,18435
65,1338,30,219,18413
66,1393,31,192,18384
67,1458,34,167,18341
68,1517,33,150,18300
69,1564,25,142,18269
70,1624,25,134,18217
71,1681,29,122,18168
72,1738,33,114,18115
73,1790,26,109,18075
74,1849,34,96,18021
75,1908,38,89,17965
76,1969,33,83,17915
77,2034,27,81,17858
78,2083,24,78,17815
79,2130,24,70,17776
80,2182,17,73,17728
81,2232,18,67,17683
82,2284,23,62,17631
83,2323,17,62,17598
84,2354,21,59,17566
85,2422,20,58,17500
86,2464,20,53,17463
87,2519,15,52,17414
88,2577,14,45,17364
89,2627,14,42,17317
90,2675,20,38,17267
91,2718,17,35,17230
92,2774,17,30,17179
93,2839,14,30,17117
94,2894,14,33,17059
95,2947,13,35,17005
96,3011,14,34,16941
97,3054,12,31,16903
98,3100,10,30,16860
99,3153,10,28,16809
100,3193,10,32,16765
101,3236,10,28,16726
102,3291,10,30,16669
103,3351,9,28,16612
104,3388,10,29,16573
105,3434,10,32,16524
106,3480,13,31,16476
107,3539,16,26,16419
108,3588,14,30,16368
109,3630,15,30,16325
110,3679,14,29,16278
111,3719,16,27,16238
112,3759,21,23,16197
113,3803,19,23,16155
114,3854,13,23,16110
115,3899,13,24,16064
116,3942,9,28,16021
117,3983,8,26,15983
118,4037,13,28,15922
119,4087,17,30,15866
120,4128,16,31,15825
121,4164,17,31,15788
122,4204,17,32,15747
123,4240,20,29,15711
124,4274,18,31,15677
125,4318,16,36,15630
126,4349,16,34,15601
127,4372,24,34,15570
128,4419,20,34,15527
129,4450,22,35,15493
130,4493,20,41,15446
131,4549,21,37,15393
132,4586,19,41,15354
133,4626,19,44,15311
134,4654,24,41,15281
135,4700,24,42,15234
136,4735,32,38,15195
137,4771,27,47,15155
138,4806,24,49,15121
139,4840,23,48,15089
140,4878,23,48,15051
141,4905,28,50,15017
142,4928,31,47,14994
143,4966,36,48,14950
144,5011,43,46,14900
145,5059,36,55,14850
146,5079,46,61,14814
147,5112,40,68,14780
148,5139,41,74,14746
149,5158,52,74,14716
150,5175,60,68,14697
151,5202,58,75,14665
152,5222,59,75,14644
153,5250,62,77,14611
154,5280,55,81,14584
155,5309,53,84,14554
156,5333,61,81,14525
157,5368,59,87,14486
158,5396,55,87,14462
159,5420,56,92,14432
160,5428,64,101,14407
161,5441,60,115,14384
162,5464,66,115,14355
163,5481,69,115,14335
164,5496,71,115,14318
165,5514,71,125,14290
166,5534,82,128,14256
167,5549,85,136,14230
168,5583,88,138,14191
169,5599,95,147,14159
170,5603,100,153,14144
171,5602,111,166,14121
172,5621,114,172,14093
173,5619,124,178,14079
174,5619,132,184,14065
175,5628,142,190,14040
176,5622,152,202,14024
177,5631,152,212,14005
178,5616,166,236,13982
179,5592,182,257,13969
180,5585,180,262,13973
181,5567,185,279,13969
182,5538,201,296,13965
183,5511,205,325,13959
184,5480,217,347,13956
185,5442,250,339,13969
186,5424,251,371,13954
187,5381,274,381,13964
188,5362,274,404,13960
189,5327,273,426,13974
190,5283,271,456,13990
191,5220,293,471,14016
192,5170,308,490,14032
193,5137,300,512,14051
194,5060,332,528,14080
195,4998,355,545,14102
196,4934,356,585,14125
197,4833,391,614,14162
198,4760,372,667,14201
199,4675,403,677,14245
200,4587,413,713,14287
201,4506,410,718,14366
202,4444,413,736,14407
203,4360,432,763,14445
204,4293,447,779,14481
205,4189,465,807,14539
206,4120,453,832,14595
207,4027,463,850,14660
208,3943,482,863,14712
209,3879,473,887,14761
210,3798,474,900,14828
211,3724,462,892,14922
212,3644,466,911,14979
213,3574,458,919,15049
214,3509,461,903,15127
215,3459,457,889,15195
216,3394,460,891,15255
217,3344,439,907,15310
218,3282,454,894,15370
219,3243,436,908,15413
220,3211,421,894,15474
221,3180,409,892,15519
222,3143,409,869,15579
223,3103,388,876,15633
224,3066,392,859,15683
225,3042,350,852,15756
226,3001,352,838,15809
227,3003,337,819,15841
228,2980,339,807,15874
229,2972,321,790,15917
230,2962,301,776,15961
231,2952,303,773,15972
232,2934,315,742,16009
233,2885,324,723,16068
234,2884,303,709,16104
235,2893,288,695,16124
236,2900,289,694,16117
237,2910,284,682,16124
238,2908,272,678,16142
239,2917,287,627,16169
240,2934,279,620,16167
241,2964,264,611,16161
242,2982,265,612,16141
243,3016,268,600,16116
244,3018,264,581,16137
245,3030,265,565,16140
246,3050,267,544,16139
247,3060,254,546,16140
248,3082,237,555,16126
249,3089,231,551,16129
250,3093,235,541,16131
251,3136,233,536,16095
252,3158,220,537,16085
253,3189,218,523,16070
254,3218,219,510,16053
255,3223,231,506,16040
256,3225,228,522,16025
257,3253,221,524,16002
258,3288,221,499,15992
259,3310,227,507,15956
260,3320,231,502,15947
261,3339,231,501,15929
262,3353,235,506,15906
263,3369,231,504,15896
264,3386,224,499,15891
265,3399,231,503,15867
266,3404,244,493,15859
267,3443,241,484,15832
268,3463,239,471,15827
269,3495,229,462,15814
270,3516,223,460,15801
271,3542,228,460,15770
272,3565,234,460,15741
273,3557,254,453,15736
274,3598,230,477,15695
275,3598,230,481,15691
276,3627,237,469,15667
277,3649,244,472,15635
278,3666,256,480,15598
279,3671,255,492,15582
280,3693,239,503,15565
281,3707,238,498,15557
282,3711,255,488,15546
283,3735,261,492,15512
284,3767,270,477,15486
285,3784,254,500,15462
286,3788,252,503,15457
287,3790,267,513,15430
288,3813,243,536,15408
289,3817,252,532,15399
290,3856,250,527,15367
291,3866,269,525,15340
292,3863,273,542,15322
293,3884,279,526,15311
294,3882,284,548,15286
295,3890,280,555,15275
296,3913,278,562,15247
297,3897,299,553,15251
298,3887,287,572,15254
299,3884,310,570,15236
300,3905,323,587,15185
301,3889,320,608,15183
302,3867,340,597,15196
303,3860,328,608,15204
304,3857,329,634,15180
305,3859,320,645,15176
306,3868,326,636,15170
307,3847,338,629,15186
308,3826,348,635,15191
309,3806,369,635,15190
310,3794,369,643,15194
311,3774,373,658,15195
312,3767,366,669,15198
313,3743,353,668,15236
314,3746,362,646,15246
315,3742,347,666,15245
316,3713,346,684,15257
317,3731,335,680,15254
318,3722,355,676,15247
319,3704,359,678,15259
320,3695,364,656,15285
321,3684,351,678,15287
322,3674,353,688,15285
323,3643,357,684,15316
324,3618,366,686,15330
325,3633,346,696,15325
326,3636,335,705,15324
327,3663,335,701,15301
328,3685,337,679,15299
329,3693,344,677,15286
330,3681,341,695,15283
331,3680,359,674,15287
332,3691,340,692,15277
333,3684,339,693,15284
334,3676,366,691,15267
335,3698,342,691,15269
336,3685,339,705,15271
337,3685,343,718,15254
338,3697,346,711,15246
339,3700,353,696,15251
340,3688,358,680,15274
341,3683,357,678,15282
342,3669,384,689,15258
343,3665,380,692,15263
344,3671,375,693,15261
345,3669,358,716,15257
346,3681,359,730,15230
347,3667,378,731,15224
348,3673,369,746,15212
349,3676,370,736,15218
350,3670,356,745,15229
351,3668,343,759,15230
352,3638,364,746,15252
353,3627,373,764,15236
354,3606,374,772,15248
355,3614,383,753,15250
356,3615,385,743,15257
357,3591,400,761,15248
358,3603,370,775,15252
359,3582,370,776,15272
360,3575,378,772,15275
361,3543,387,773,15297
362,3545,384,779,15292
363,3531,394,762,15313
364,3534,380,767,15319
365,3513,379,773,15335
366,3532,359,783,15326
367,3538,359,794,15309
368,3520,378,776,15326
369,3513,376,763,15348
370,3506,363,763,15368
371,3503,343,789,15365
372,3507,337,795,15361
373,3498,341,779,15382
374,3501,352,753,15394
375,3457,375,767,15401
376,3451,356,784,15409
377,3437,352,779,15432
378,3433,359,756,15452
379,3435,346,739,15480
380,3433,333,758,15476
381,3435,344,726,15495
382,3425,350,724,15501
383,3415,345,721,15519
384,3424,322,711,15543
385,3439,322,713,15526
386,3445,316,727,15512
387,3450,307,733,15510
388,3462,318,715,15505
389,3441,314,723,15522
390,3441,319,713,15527
391,3455,303,689,15553
392,3447,311,689,15553
393,3474,311,681,15534
394,3460,330,683,15527
395,3443,333,675,15549
396,3459,333,651,15557
397,3472,325,667,15536
398,3502,309,682,15507
399,3506,314,681,15499
400,3506,317,681,15496
401,3539,289,668,15504
402,3540,307,665,15488
403,3552,308,688,15452
404,3582,308,689,15421
405,3543,361,663,15433
406,3558,364,679,15399
407,3571,358,691,15380
408,3580,344,717,15359
409,3602,343,695,15360
410,3591,368,688,15353
411,3596,359,703,15342
412,3590,354,717,15339
413,3566,347,734,15353
414,3578,341,742,15339
415,3562,340,752,15346
416,3559,355,743,15343
417,3567,337,730,15366
418,3575,341,728,15356
419,3575,332,749,15344
420,3605,332,725,15338
421,3595,337,707,15361
422,3582,340,698,15380
423,3574,316,715,15395
424,3585,319,715,15381
425,3564,362,686,15388
426,3565,360,663,15412
427,3584,331,700,15385
428,3568,341,708,15383
429,3578,332,710,15380
430,3582,335,692,15391
431,3580,338,680,15402
432,3565,352,656,15427
433,3557,343,679,15421
434,3554,338,682,15426
435,3579,316,692,15413
436,3566,311,681,15442
437,3551,320,683,15446
438,3519,336,691,15454
439,3539,319,677,15465
440,3540,325,658,15477
441,3554,307,660,15479
442,3564,301,644,15491
443,3555,300,655,15490
444,3540,327,631,15502
445,3566,316,624,15494
446,3553,318,634,15495
447,3582,308,645,15465
448,3602,293,647,15458
449,3617,286,645,15452
450,3623,284,624,15469
451,3621,291,636,15452
452,3612,292,640,15456
453,3615,306,626,15453
454,3621,301,644,15434
455,3627,292,648,15433
456,3608,303,654,15435
457,3627,307,642,15424
458,3596,320,646,15438
459,3604,321,650,15425
460,3604,323,678,15395
461,3615,346,655,15384
462,3611,348,678,15363
463,3625,341,700,15334
464,3642,338,688,15332
465,3652,325,691,15332
466,3654,330,682,15334
467,3641,328,676,15355
468,3632,344,672,15352
469,3656,342,662,15340
470,3675,326,666,15333
471,3645,356,658,15341
472,3661,351,658,15330
473,3652,347,658,15343
474,3653,341,663,15343
475,3644,345,670,15341
476,3634,352,682,15332
477,3651,336,687,15326
478,3638,331,694,15337
479,3641,330,696,15333
480,3644,322,689,15345
481,3636,325,686,15353
482,3648,317,705,15330
483,3641,340,681,15338
484,3636,331,685,15348
485,3621,343,665,15371
486,3618,351,655,15376
487,3639,329,663,15369
488,3656,326,670,15348
489,3651,339,661,15349
490,3641,348,678,15333
491,3646,337,673,15344
492,3624,350,688,15338
493,3637,340,712,15311
494,3630,352,709,15309
495,3622,344,713,15321
496,3603,365,710,15322
497,3583,385,713,15319
498,3580,362,741,15317
499,3569,362,724,15345
500,3581,343,733,15343
501,3584,354,743,15319
502,3557,355,748,15340
503,3547,357,740,15356
504,3534,360,721,15385
505,3550,370,723,15357
506,3544,364,749,15343
507,3539,357,736,15368
508,3525,359,730,15386
509,3522,355,737,15386
510,3526,356,713,15405
511,3535,338,741,15386
512,3523,346,744,15387
513,3515,357,736,15392
514,3519,357,738,15386
515,3510,348,734,15408
516,3498,337,743,15422
517,3500,338,741,15421
518,3512,330,737,15421
519,3510,340,733,15417
520,3507,362,708,15423
521,3503,374,684,15439
522,3504,363,699,15434
523,3511,360,713,15416
524,3527,338,713,15422
525,3555,330,698,15417
526,3547,346,681,15426
527,3548,329,696,15427
528,3571,330,700,15399
529,3576,344,688,15392
530,3591,329,695,15385
531,3594,325,692,15389
532,3612,318,697,15373
533,3620,324,670,15386
534,3642,312,665,15381
535,3661,334,649,15356
536,3688,310,671,15331
537,3700,305,656,15339
538,3684,319,638,15359
539,3691,306,637,15366
540,3711,297,645,15347
541,3697,324,630,15349
542,3706,314,635,15345
543,3702,311,633,15354
544,3697,310,636,15357
545,3700,321,624,15355
546,3732,341,615,15312
547,3733,349,634,15284
548,3746,326,655,15273
549,3731,328,680,15261
550,3748,332,686,15234
551,3747,341,684,15228
552,3749,347,695,15209
553,3756,341,686,15217
554,3736,342,710,15212
555,3750,326,729,15195
556,3736,350,717,15197
557,3718,354,756,15172
558,3691,367,743,15199
559,3668,374,747,15211
560,3654,386,752,15208
561,3634,371,749,15246
562,3622,373,737,15268
563,3592,401,742,15265
564,3571,398,747,15284
565,3568,392,754,15286
566,3571,377,754,15298
567,3543,392,721,15344
568,3556,377,721,15346
569,3565,381,739,15315
570,3560,372,728,15340
571,3545,390,733,15332
572,3543,380,726,15351
573,3520,399,717,15364
574,3518,378,746,15358
575,3509,353,750,15388
576,3519,353,720,15408
577,3525,362,721,15392
578,3530,364,713,15393
579,3517,388,715,15380
580,3520,377,722,15381
581,3507,379,724,15390
582,3512,361,746,15381
583,3518,372,742,15368
584,3535,366,740,15359
585,3512,357,731,15400
586,3518,358,716,15408
587,3531,364,705,15400
588,3533,357,714,15396
589,3550,347,718,15385
590,3525,367,726,15382
591,3532,366,710,15392
592,3511,387,715,15387
593,3500,379,729,15392
594,3494,379,731,15396
595,3493,369,735,15403
596,3507,371,733,15389
597,3482,390,721,15407
598,3489,369,728,15414
599,3473,387,739,15401
600,3509,369,750,15372
601,3520,354,772,15354
602,3488,382,773,15357
603,3489,372,778,15361
604,3455,386,778,15381
605,3461,381,767,15391
606,3453,377,763,15407
607,3440,365,786,15409
608,3475,370,773,15382
609,3466,381,768,15385
610,3454,379,770,15397
611,3430,383,771,15416
612,3425,365,773,15437
613,3408,360,768,15464
614,3404,357,761,15478
615,3442,336,731,15491
616,3468,319,722,15491
617,3465,322,721,15492
618,3450,323,731,15496
619,3476,314,708,15502
620,3465,331,686,15518
621,3485,321,688,15506
622,3490,338,691,15481
623,3510,336,686,15468
624,3522,326,699,15453
625,3536,329,682,15453
626,3549,323,699,15429
627,3541,334,689,15436
628,3546,325,700,15429
629,3520,349,696,15435
630,3521,369,706,15404
631,3518,360,723,15399
632,3510,352,721,15417
633,3512,348,723,15417
634,3506,364,716,15414
635,3518,352,709,15421
636,3522,344,700,15434
637,3534,340,683,15443
638,3543,342,674,15441
639,3551,352,671,15426
640,3550,360,693,15397
641,3556,357,704,15383
642,3584,353,687,15376
