temps,S,E,I,R
0.0000000000,0.9990000000,0.0000000000,0.0010000000,0.0000000000
0.1000000000,0.9989503946,0.0000487878,0.0009866315,0.0000141861
0.2000000000,0.9989014187,0.0000953611,0.0009750300,0.0000281901
0.3000000000,0.9988529863,0.0001398770,0.0009651000,0.0000420366
0.4000000000,0.9988050161,0.0001824828,0.0009567521,0.0000557489
0.5000000000,0.9987574310,0.0002233170,0.0009499030,0.0000693490
0.6000000000,0.9987101582,0.0002625092,0.0009444749,0.0000828578
0.7000000000,0.9986631283,0.0003001814,0.0009403953,0.0000962950
0.8000000000,0.9986162758,0.0003364479,0.0009375968,0.0001096796
0.9000000000,0.9985695382,0.0003714161,0.0009360165,0.0001230292
1.0000000000,0.9985228561,0.0004051871,0.0009355957,0.0001363610
1.1000000000,0.9984761731,0.0004378557,0.0009362801,0.0001496911
1.2000000000,0.9984294353,0.0004695109,0.0009380190,0.0001630349
1.3000000000,0.9983825911,0.0005002366,0.0009407652,0.0001764071
1.4000000000,0.9983355916,0.0005301116,0.0009444750,0.0001898218
1.5000000000,0.9982883895,0.0005592101,0.0009491079,0.0002032924
1.6000000000,0.9982409399,0.0005876018,0.0009546263,0.0002168320
1.7000000000,0.9981931995,0.0006153526,0.0009609952,0.0002304527
1.8000000000,0.9981451267,0.0006425243,0.0009681825,0.0002441666
1.9000000000,0.9980966815,0.0006691752,0.0009761583,0.0002579850
2.0000000000,0.9980478254,0.0006953604,0.0009848951,0.0002719191
2.1000000000,0.9979985211,0.0007211319,0.0009943677,0.0002859794
2.2000000000,0.9979487326,0.0007465386,0.0010045526,0.0003001763
2.3000000000,0.9978984249,0.0007716268,0.0010154286,0.0003145197
2.4000000000,0.9978475643,0.0007964404,0.0010269759,0.0003290193
2.5000000000,0.9977961178,0.0008210208,0.0010391767,0.0003436847
2.6000000000,0.9977440534,0.0008454071,0.0010520147,0.0003585248
2.7000000000,0.9976913399,0.0008696365,0.0010654749,0.0003735487
2.8000000000,0.9976379466,0.0008937443,0.0010795441,0.0003887651
2.9000000000,0.9975838436,0.0009177638,0.0010942099,0.0004041826
3.0000000000,0.9975290017,0.0009417269,0.0011094618,0.0004198096
3.1000000000,0.9974733921,0.0009656639,0.0011252898,0.0004356542
3.2000000000,0.9974169864,0.0009896034,0.0011416855,0.0004517247
3.3000000000,0.9973597567,0.0010135729,0.0011586414,0.0004680289
3.4000000000,0.9973016755,0.0010375986,0.0011761510,0.0004845749
3.5000000000,0.9972427155,0.0010617055,0.0011942087,0.0005013703
3.6000000000,0.9971828497,0.0010859176,0.0012128097,0.0005184230
3.7000000000,0.9971220513,0.0011102578,0.0012319503,0.0005357405
